"Alencar, Alexandre Lucchesi",1
"Alencar, Aline de Oliveira",1
"Alencar, Ana Carolina Correa",2
"Alencar, Ana Carolina Corrêa",1
"Alencar, Ana Paula Dorneles",1
"Alencar, André Amorim",1
"Alencar, Ane",1
"Alencar, Bárbara de",1
"Alencar, Bianca Maria Salatiel Matos de",1
"Alencar, Bruna Maciel de",3
"Alencar, Cristiane de Castro",1
"Alencar, Cristina Miranda de",1
"Alencar, D'angela Marise Gomes de",1
"Alencar, Danielle B. S. de",1
"Alencar, Dara Elizabeth Costa",1
"Alencar, Elisa Borges de Alcântara",1
"Alencar, Ernandes Rodrigues de",16
"Alencar, Euler Rodrigues de",1
"Alencar, Eunice M. L. Soriano de",3
"Alencar, Filipe Henrique Bezerra Matos de",1
"Alencar, Flávio Silvestre de",1
"Alencar, Gabriel Falcão",1
"Alencar, Ildegard Hevelyn de Oliveira",1
"Alencar, Ingred Fernandes de Andrade",1
"Alencar, Islany Costa",1
"Alencar, Joana Luiza Oliveira",1
"Alencar, Kalil",1
"Alencar, Lídia Costa de",3
"Alencar, Lígia Falcão",1
"Alencar, Lucas Almeida",2
"Alencar, Lucienne Christine Estevez de",3
"Alencar, Luis Cláudio Arraes de",2
"Alencar, Marcelo Sampaio de",1
"Alencar, Marco Túlio Lustosa de",1
"Alencar, Maria da Glória Serra Pinto de",1
"Alencar, Nadia Zilotti",1
"Alencar, Paola Aires Lócio de",2
"Alencar, Paulo Cezar Dias de",1
"Alencar, Priscila Martins",1
"Alencar, Rafael Augusto da Costa",2
"Alencar, Rafael Fernando Mendonça de",1
"Alencar, Railssa Peluti",1
"Alencar, Rony Anderson Santos",1
"Alencar, Rosângela Silva de",1
"Alencar, Sérgio Amorim de",3
"Alencar, Tainá Raiol",2
"Alencar, Thayane Morais de",2
"Alencar, Tiscianne Cavalcante de",1
"Alencar, Valdenisia Apolinario",1
"Alencar, Vitor Silva",1
"Alencar, Waleria Maria Menezes de Morais",1
"Alencar, Danielle B. S. de",1
"Alencar, Ernandes Rodrigues de",2
"Alencar, Eunice M. L. Soriano de",13
"Alencar, Guilherme Asmar",1
"Alencar-Silva, Thuany",1
"Alencastro Filho, Tito Regis de",1
"Alencastro, Aline Simões de",1
"Alencastro, Felipe Barbosa de",1
"Alencastro, Júlia Freire de",1
"Alencastro, Karine Simões de",1
"Alencastro, Luiza de Fátima dos Santos de",1
"Alencastro, Renata Batista Gomes de",1
"Alentejo, Eduardo da Silva",2
"Alessi, Antônio Carlos",4
"Alessio, Maria Martins",2
"Alessio, Maria Martins",1
"Alexander, Paul E.",1
"Alexandre, Álison da Silva",1
"Alexandre, Eduardo Reis",1
"Alexandre, Maria Esther",1
"Alexandre, Thamara Rodrigues",1
"Alexandre, Veruska Prado",5
"Alexandria, Marília de",1
"Alexandrino, Diego Wannucci Souza",1
"Alexandrino, Luma Araújo",1
"Alexim, Gustavo de Almeida",2
"Alexis, Kouamé N'Guessan",1
"Alfaia Júnior, José Roberto Gioia",2
"Alfani, Adriana de Oliveira Santos",1
"Alfaro Pérez, Jorge",1
"Alfaro, Javier Andres Garcia",1
"Alfaro, Sadek Crisóstomo Absi",14
"Alfenas, Acelino Couto",1
"Alfenas‑Zerbini, Poliane",1
"Alfinito, Solange",10
"Alfonso Pérez, Ana Laura",2
"Alfonzo, Evelyn Priscila München",2
"Alfredo, Edson",1
"Alfredo, Edson Joaquim Mayer",1
"Algarte, Roberto Dias",1
"Alhaji, Adamu Muhammad",1
